rep	test_id	descripcion	alfabeto	longitud	tipo	password	hash	programa	encontrado	intentos	tiempo_s	mh_s
1	T1	num len6 encontrado	num	6	encontrado	654321	c33367701511b4f6020ec61ded352059	CPU	si	123457	0.02	6.7920
1	T1	num len6 encontrado	num	6	encontrado	654321	c33367701511b4f6020ec61ded352059	GPU	si	1000000	0.00	1314.62
1	T2	num len6 no_encontrado (hash de abcdef)	num	6	no_encontrado	abcdef	e80b5017098950fc58aad83c8c14978e	CPU	no	1000000	0.14	7.0639
1	T2	num len6 no_encontrado (hash de abcdef)	num	6	no_encontrado	abcdef	e80b5017098950fc58aad83c8c14978e	GPU	no	1000000	0.00	1303.18
1	T3	lower len5 encontrado	lower	5	encontrado	amigo	d94729ce13f4ee6395bfc6f1080cc986	CPU	si	6508841	0.85	7.6128
1	T3	lower len5 encontrado	lower	5	encontrado	amigo	d94729ce13f4ee6395bfc6f1080cc986	GPU	si	11881376	0.01	1720.54
1	T4	lower len5 no_encontrado (hash de amigo1)	lower	5	no_encontrado	amigo1	6a0200fb6c5a16966766a660df7f5cde	CPU	no	11881376	1.55	7.6753
1	T4	lower len5 no_encontrado (hash de amigo1)	lower	5	no_encontrado	amigo1	6a0200fb6c5a16966766a660df7f5cde	GPU	no	11881376	0.01	1733.89
1	T5	alnum len6 encontrado	alnum	6	encontrado	zzzz00	6e7c381877a55d80afe68cb1e9bf1ad5	CPU	si	8478226	1.17	7.2496
1	T5	alnum len6 encontrado	alnum	6	encontrado	zzzz00	6e7c381877a55d80afe68cb1e9bf1ad5	GPU	si	56800235776	30.88	1839.65
1	T6	alnum len4 no_encontrado (hash de abcde)	alnum	4	no_encontrado	abcde	ab56b4d92b40713acc5af89985d4b786	CPU	no	14776336	1.81	8.1655
1	T6	alnum len4 no_encontrado (hash de abcde)	alnum	4	no_encontrado	abcde	ab56b4d92b40713acc5af89985d4b786	GPU	no	14776336	0.01	1831.87
2	T1	num len6 encontrado	num	6	encontrado	654321	c33367701511b4f6020ec61ded352059	CPU	si	123457	0.02	5.6658
2	T1	num len6 encontrado	num	6	encontrado	654321	c33367701511b4f6020ec61ded352059	GPU	si	1000000	0.00	1316.19
2	T2	num len6 no_encontrado (hash de abcdef)	num	6	no_encontrado	abcdef	e80b5017098950fc58aad83c8c14978e	CPU	no	1000000	0.14	7.4008
2	T2	num len6 no_encontrado (hash de abcdef)	num	6	no_encontrado	abcdef	e80b5017098950fc58aad83c8c14978e	GPU	no	1000000	0.00	1300.09
2	T3	lower len5 encontrado	lower	5	encontrado	amigo	d94729ce13f4ee6395bfc6f1080cc986	CPU	si	6508841	0.85	7.6468
2	T3	lower len5 encontrado	lower	5	encontrado	amigo	d94729ce13f4ee6395bfc6f1080cc986	GPU	si	11881376	0.01	1734.31
